tt,gcx,gcy,gcz,roll,pitch,yaw,lx,ly,lz,rx,ry,rz,arm_up,arm_low
10,0,0.936702753,195.12,0,0,0,0,57.5,0,0,-57.5,0,0,-48
10,0.131464043,24.92363259,194.9810583,0,0,0,0,57.5,0,0.005632478,-57.5,0.056067955,0,-48
10,0.56021148,40.31708795,194.6333754,0,0,0,0,57.5,0,1.153377712,-57.5,9.775055474,0,-48
10,1.389595629,48.87426737,194.1806643,0,0,0,0,57.5,0,6.239953199,-57.5,35.67069683,0,-48
10,2.792063619,51.61581335,193.7266383,0,0,0,0,57.5,0,15.60040992,-57.5,49.55958572,0,-48
10,5.009156392,48.87426737,193.3750105,0,0,0,0,57.5,0,26.5164322,-57.5,48.55827786,0,-48
10,8.351508701,40.31708795,193.2294939,0,0,0,0,57.5,0,35.15836976,-57.5,30.4994876,0,-48
10,13.19884911,24.92363259,193.3938019,0,0,0,0,57.5,0,39.32123483,-57.5,6.052037795,0,-48
10,20,0.936702753,193.9716474,0,0,0,0,57.5,0,40,-57.5,0,0,-48
