0,0,0,0,0,0,0,0,0,0,0,0,
50,0,0.936702753,195.12,0,0,0,0,57.5,0,0,-57.5,0
50,0,24.92363259,194.9810583,0,0,0,0,57.5,0,0,-57.5,0.056067955
50,0,40.31708795,194.6333754,0,0,0,0,57.5,0,0,-57.5,9.775055474
50,0,48.87426737,194.1806643,0,0,0,0,57.5,0,0,-57.5,35.67069683
50,0,51.61581335,193.7266383,0,0,0,0,57.5,0,0,-57.5,49.55958572
50,0,48.87426737,193.3750105,0,0,0,0,57.5,0,0,-57.5,48.55827786
50,0,40.31708795,193.2294939,0,0,0,0,57.5,0,0,-57.5,30.4994876
50,0,24.92363259,193.3938019,0,0,0,0,57.5,0,0,-57.5,6.052037795
50,0,0.936702753,193.9716474,0,0,0,0,57.5,0,0,-57.5,0
